id	userId	status	deliveryDatetime	paymentDatetime	discountValue	subTotal	total	note	createdAt	updatedAt
51	44	2	2026-06-30T10:45:31.704788		0	15000	15000		2026-06-30T10:45:43.551396	2026-06-30T10:45:43.551415
52	3	1	2026-06-30T10:45:47.879188		0	12000	12000		2026-06-30T10:45:57.886475	2026-06-30T10:45:57.886493
53	45	2	2026-06-30T10:46:22.963732		0	12000	12000		2026-06-30T10:46:37.709277	2026-06-30T10:46:37.709305
54	46	2	2026-06-30T10:47:09.647725		0	7000	7000		2026-06-30T10:47:19.413351	2026-06-30T10:47:19.413373
55	47	1	2026-06-30T10:47:58.401543		0	22000	22000		2026-06-30T10:48:11.873275	2026-06-30T10:48:11.873300
56	48	2	2026-06-30T10:48:43.759865		0	19000	19000		2026-06-30T10:49:01.821316	2026-06-30T10:49:01.821335
57	12	2	2026-06-30T10:49:10.456384		0	39000	39000		2026-06-30T10:49:30.477340	2026-06-30T10:49:30.477386
58	15	2	2026-06-30T10:51:44.114123		0	15000	15000		2026-06-30T10:51:55.516364	2026-06-30T10:51:55.516395
59	49	1	2026-06-30T10:52:27.451199		0	30000	30000		2026-06-30T10:52:40.279874	2026-06-30T10:52:40.279921
60	50	2	2026-06-30T10:53:16.342871		0	90000	90000		2026-06-30T10:53:40.846891	2026-06-30T10:53:40.846915
61	6	1	2026-06-30T10:53:47.875594		0	30000	30000		2026-06-30T10:53:55.314591	2026-06-30T10:53:55.314617
62	19	1	2026-06-30T20:00:02.792164		0	136000	136000		2026-06-30T20:01:26.567602	2026-06-30T20:01:26.567631
63	51	2	2026-06-30T20:01:30.912554		0	70000	70000		2026-06-30T20:02:26.045405	2026-06-30T20:02:26.045439
